midnight_test 2026-07-08_19-55-06: 8640 steps each, harness=gemma4-e4b, 
[19:55:06] no docker daemon detected; assuming bare-metal Neo4j on localhost:7687.
[19:55:07] Neo4j bolt is up.
[19:55:07] === gemma4-e4b_klaus-nams-spacy-only (extraction=no-llm): starting ===
[19:55:07]   translating Klaus Mueller JSON bootstrap -> Neo4j (--force-import)...
[19:55:21]   translation done.
[19:55:21] gemma4-e4b_klaus-nams-spacy-only: headless sim launched (sim midnight_gemma4-e4b_klaus-nams-spacy-only_2026-07-08_19-55-06); polling every 60s.
[19:56:21] gemma4-e4b_klaus-nams-spacy-only: step 0/8640 (60s elapsed)
[19:57:21] gemma4-e4b_klaus-nams-spacy-only: step 0/8640 (120s elapsed)
[19:58:21] gemma4-e4b_klaus-nams-spacy-only: step 0/8640 (180s elapsed)
[19:59:21] gemma4-e4b_klaus-nams-spacy-only: step 2160/8640 (240s elapsed)
[20:00:21] gemma4-e4b_klaus-nams-spacy-only: step 2190/8640 (300s elapsed)
[20:01:21] gemma4-e4b_klaus-nams-spacy-only: step 2220/8640 (360s elapsed)
[20:02:21] gemma4-e4b_klaus-nams-spacy-only: step 2280/8640 (420s elapsed)
[20:03:21] gemma4-e4b_klaus-nams-spacy-only: step 2310/8640 (480s elapsed)
[20:04:22] gemma4-e4b_klaus-nams-spacy-only: step 2370/8640 (541s elapsed)
[20:05:22] gemma4-e4b_klaus-nams-spacy-only: step 2400/8640 (601s elapsed)
[20:06:22] gemma4-e4b_klaus-nams-spacy-only: step 2430/8640 (661s elapsed)
[20:07:22] gemma4-e4b_klaus-nams-spacy-only: step 2490/8640 (721s elapsed)
[20:08:22] gemma4-e4b_klaus-nams-spacy-only: step 2520/8640 (781s elapsed)
[20:09:22] gemma4-e4b_klaus-nams-spacy-only: step 2880/8640 (841s elapsed)
[20:10:22] gemma4-e4b_klaus-nams-spacy-only: step 2880/8640 (901s elapsed)
[20:11:22] gemma4-e4b_klaus-nams-spacy-only: step 2880/8640 (961s elapsed)
[20:12:22] gemma4-e4b_klaus-nams-spacy-only: step 3240/8640 (1021s elapsed)
[20:13:22] gemma4-e4b_klaus-nams-spacy-only: step 3240/8640 (1081s elapsed)
[20:14:22] gemma4-e4b_klaus-nams-spacy-only: step 3240/8640 (1141s elapsed)
[20:15:22] gemma4-e4b_klaus-nams-spacy-only: step 3240/8640 (1201s elapsed)
[20:16:22] gemma4-e4b_klaus-nams-spacy-only: step 3600/8640 (1261s elapsed)
[20:17:22] gemma4-e4b_klaus-nams-spacy-only: step 3600/8640 (1321s elapsed)
[20:18:22] gemma4-e4b_klaus-nams-spacy-only: step 3600/8640 (1381s elapsed)
[20:19:22] gemma4-e4b_klaus-nams-spacy-only: step 3600/8640 (1441s elapsed)
[20:20:22] gemma4-e4b_klaus-nams-spacy-only: step 3654/8640 (1501s elapsed)
[20:21:22] gemma4-e4b_klaus-nams-spacy-only: step 3960/8640 (1561s elapsed)
[20:22:22] gemma4-e4b_klaus-nams-spacy-only: step 3960/8640 (1621s elapsed)
[20:23:22] gemma4-e4b_klaus-nams-spacy-only: step 4194/8640 (1681s elapsed)
[20:24:22] gemma4-e4b_klaus-nams-spacy-only: step 4586/8640 (1741s elapsed)
[20:25:22] gemma4-e4b_klaus-nams-spacy-only: step 4651/8640 (1801s elapsed)
[20:26:22] gemma4-e4b_klaus-nams-spacy-only: step 4880/8640 (1861s elapsed)
[20:27:22] gemma4-e4b_klaus-nams-spacy-only: step 5283/8640 (1921s elapsed)
[20:28:23] gemma4-e4b_klaus-nams-spacy-only: step 5423/8640 (1982s elapsed)
[20:29:23] gemma4-e4b_klaus-nams-spacy-only: step 5423/8640 (2042s elapsed)
[20:30:23] gemma4-e4b_klaus-nams-spacy-only: step 5466/8640 (2102s elapsed)
[20:31:23] gemma4-e4b_klaus-nams-spacy-only: step 5466/8640 (2162s elapsed)
[20:32:23] gemma4-e4b_klaus-nams-spacy-only: step 5466/8640 (2222s elapsed)
[20:33:23] gemma4-e4b_klaus-nams-spacy-only: step 5524/8640 (2282s elapsed)
[20:34:23] gemma4-e4b_klaus-nams-spacy-only: step 5587/8640 (2342s elapsed)
[20:35:23] gemma4-e4b_klaus-nams-spacy-only: step 5968/8640 (2402s elapsed)
[20:36:23] gemma4-e4b_klaus-nams-spacy-only: step 6216/8640 (2462s elapsed)
[20:37:23] gemma4-e4b_klaus-nams-spacy-only: step 6240/8640 (2522s elapsed)
[20:38:23] gemma4-e4b_klaus-nams-spacy-only: step 6264/8640 (2582s elapsed)
[20:39:23] gemma4-e4b_klaus-nams-spacy-only: step 6266/8640 (2642s elapsed)
[20:40:23] gemma4-e4b_klaus-nams-spacy-only: step 6266/8640 (2702s elapsed)
[20:41:23] gemma4-e4b_klaus-nams-spacy-only: step 6266/8640 (2762s elapsed)
[20:42:23] gemma4-e4b_klaus-nams-spacy-only: step 6330/8640 (2822s elapsed)
[20:43:23] gemma4-e4b_klaus-nams-spacy-only: step 6330/8640 (2882s elapsed)
[20:44:23] gemma4-e4b_klaus-nams-spacy-only: step 6330/8640 (2942s elapsed)
[20:45:23] gemma4-e4b_klaus-nams-spacy-only: step 6332/8640 (3002s elapsed)
[20:46:23] gemma4-e4b_klaus-nams-spacy-only: step 6354/8640 (3062s elapsed)
[20:47:23] gemma4-e4b_klaus-nams-spacy-only: step 6355/8640 (3122s elapsed)
[20:48:23] gemma4-e4b_klaus-nams-spacy-only: step 6360/8640 (3182s elapsed)
[20:49:23] gemma4-e4b_klaus-nams-spacy-only: step 6360/8640 (3242s elapsed)
[20:50:23] gemma4-e4b_klaus-nams-spacy-only: step 6360/8640 (3302s elapsed)
[20:51:23] gemma4-e4b_klaus-nams-spacy-only: step 6362/8640 (3362s elapsed)
[20:52:23] gemma4-e4b_klaus-nams-spacy-only: step 6450/8640 (3422s elapsed)
[20:53:24] gemma4-e4b_klaus-nams-spacy-only: step 6451/8640 (3483s elapsed)
[20:54:24] gemma4-e4b_klaus-nams-spacy-only: step 6462/8640 (3543s elapsed)
[20:55:24] gemma4-e4b_klaus-nams-spacy-only: step 6540/8640 (3603s elapsed)
[20:56:24] gemma4-e4b_klaus-nams-spacy-only: step 6542/8640 (3663s elapsed)
[20:57:24] gemma4-e4b_klaus-nams-spacy-only: step 6542/8640 (3723s elapsed)
